"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-26","0.0",",,E",,,"23.9",",,E","10.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-27","0.0",",,E",,,"27.2",",,E","12.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-28","0.0",",,E",,,"26.5",",,E","13.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-29","0.0",",,E",,,"30.6",",,E","14.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-30","0.0",",,E",,,"28.8",",,E","17.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-31","0.0",",,E",,,"27.1",",,E","15.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-01","0.0",",,E",,,"28.8",",,E","13.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-02","0.0",",,E",,,"26.7",",,E","14.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-03","0.0",",,E",,,"26.6",",,E","15.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-04","0.0",",,E",,,"27.0",",,E","16.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-05","0.0",",,E",,,"27.3",",,E","16.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-06","1.8",",,E",,,"29.2",",,E","15.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-07","0.0",",,E",,,"27.6",",,E","13.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-08","0.0",",,E",,,"29.3",",,E","14.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-09","0.0",",,E",,,"30.1",",,E","15.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-10","0.0",",,E",,,"33.0",",,E","16.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-11","0.0",",,E",,,"31.7",",,E","17.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-12","0.0",",,E",,,"33.4",",,E","16.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-13","0.0",",,E",,,"34.5",",,E","19.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-14","0.0",",,E",,,"36.9",",,E","20.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-15","0.0",",,E",,,"34.5",",,E","18.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-16","0.0",",,E",,,"34.1",",,E","20.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-17","1.1",",,E",,,"27.8",",,E","17.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-18","0.0",",,E",,,"32.1",",,E","16.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-19","0.0",",,E",,,"30.7",",,E","19.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-20","0.1",",,E",,,"30.8",",,E","18.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-21","0.0",",,E",,,"33.0",",,E","16.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-22","0.0",",,E",,,"28.7",",,E","17.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-23","10.5",",,E",,,"26.3",",,E","15.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-24","0.0",",,E",,,"28.3",",,E","13.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-25","0.0",",,E",,,"29.2",",,E","14.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-26","0.0",",,E",,,"32.1",",,E","16.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-27","0.0",",,E",,,"30.1",",,E","17.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-28","0.0",",,E",,,"30.0",",,E","17.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-29","0.0",",,E",,,"27.8",",,E","19.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-06-30","0.0",",,E",,,"29.4",",,E","19.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-01","0.0",",,E",,,"32.7",",,E","19.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-02","0.0",",,E",,,"34.7",",,E","17.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-03","0.0",",,E",,,"33.5",",,E","17.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-04","0.0",",,E",,,"32.8",",,E","18.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-05","0.0",",,E",,,"31.0",",,E","17.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-06","0.0",",,E",,,"31.8",",,E","21.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-07","0.0",",,E",,,"29.2",",,E","19.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-08","0.0",",,E",,,"31.8",",,E","19.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-07-09","0.0",",,E",,,"32.1",",,E","18.8",",,E"
